bin_no	time
349	20.93408092
350	20.99402098
351	21.05396104
352	21.1139011
353	21.17384116
354	21.23378122
355	21.29372128
356	21.35366134
357	21.4136014
358	21.47354146
359	21.53348152
360	21.59342158
361	21.65336164
362	21.7133017
363	21.77324176
364	21.83318182
365	21.89312188
366	21.95306194
367	22.013002
368	22.07294206
369	22.13288212
370	22.19282218
371	22.25276224
372	22.3127023
373	22.37264236
374	22.43258242
375	22.49252248
376	22.55246254
377	22.6124026
378	22.67234266
379	22.73228272
380	22.79222278
381	22.85216284
382	22.9121029
383	22.97204296
384	23.03198302
385	23.09192308
386	23.15186314
387	23.2118032
388	23.27174326
389	23.33168332
390	23.39162338
391	23.45156344
392	23.5115035
393	23.57144356
394	23.63138362
395	23.69132368
396	23.75126374
397	23.8112038
398	23.87114386
399	23.93108392
400	23.99102398
401	24.05096404
402	24.1109041
403	24.17084416
404	24.23078422
405	24.29072428
406	24.35066434
407	24.4106044
408	24.47054446
409	24.53048452
410	24.59042458
411	24.65036464
412	24.7103047
413	24.77024476
414	24.83018482
415	24.89012488
416	24.95006494
417	25.010005
418	25.06994505
419	25.12988511
420	25.18982517
421	25.24976523
422	25.30970529
423	25.36964535
424	25.42958541
425	25.48952547
426	25.54946553
427	25.60940559
428	25.66934565
429	25.72928571
430	25.78922577
431	25.84916583
432	25.90910589
433	25.96904595
434	26.02898601
435	26.08892607
436	26.14886613
437	26.20880619
438	26.26874625
439	26.32868631
440	26.38862637
441	26.44856643
442	26.50850649
443	26.56844655
444	26.62838661
445	26.68832667
446	26.74826673
447	26.80820679
448	26.86814685
449	26.92808691
450	26.98802697
451	27.04796703
452	27.10790709
453	27.16784715
454	27.22778721
455	27.28772727
456	27.34766733
457	27.40760739
458	27.46754745
459	27.52748751
460	27.58742757
461	27.64736763
462	27.70730769
463	27.76724775
464	27.82718781
465	27.88712787
466	27.94706793
467	28.00700799
468	28.06694805
469	28.12688811
470	28.18682817
471	28.24676823
472	28.30670829
473	28.36664835
474	28.42658841
475	28.48652847
476	28.54646853
477	28.60640859
478	28.66634865
479	28.72628871
480	28.78622877
481	28.84616883
482	28.90610889
483	28.96604895
484	29.02598901
485	29.08592907
486	29.14586913
487	29.20580919
488	29.26574925
489	29.32568931
490	29.38562937
491	29.44556943
492	29.50550949
493	29.56544955
494	29.62538961
495	29.68532967
496	29.74526973
497	29.80520979
498	29.86514985
499	29.92508991
500	29.98502997
501	30.04497003
502	30.10491009
503	30.16485015
504	30.22479021
505	30.28473027
506	30.34467033
507	30.40461039
508	30.46455045
509	30.52449051
510	30.58443057
511	30.64437063
512	30.70431069
513	30.76425075
514	30.82419081
515	30.88413087
516	30.94407093
517	31.00401099
518	31.06395105
519	31.12389111
520	31.18383117
521	31.24377123
522	31.30371129
523	31.36365135
524	31.42359141
525	31.48353147
526	31.54347153
527	31.60341159
528	31.66335165
529	31.72329171
530	31.78323177
531	31.84317183
532	31.90311189
533	31.96305195
534	32.02299201
535	32.08293207
536	32.14287213
537	32.20281219
538	32.26275225
539	32.32269231
540	32.38263237
541	32.44257243
542	32.50251249
543	32.56245255
544	32.62239261
545	32.68233267
546	32.74227273
547	32.80221279
548	32.86215285
549	32.92209291
550	32.98203297
551	33.04197303
552	33.10191309
553	33.16185315
554	33.22179321
555	33.28173327
556	33.34167333
557	33.40161339
558	33.46155345
559	33.52149351
560	33.58143357
561	33.64137363
562	33.70131369
563	33.76125375
564	33.82119381
565	33.88113387
566	33.94107393
567	34.00101399
568	34.06095405
569	34.12089411
570	34.18083417
571	34.24077423
572	34.30071429
573	34.36065435
574	34.42059441
575	34.48053447
576	34.54047453
577	34.60041459
578	34.66035465
579	34.72029471
580	34.78023477
581	34.84017483
582	34.90011489
583	34.96005495
584	35.019995
585	35.07993506
586	35.13987512
587	35.19981518
588	35.25975524
589	35.3196953
590	35.37963536
591	35.43957542
592	35.49951548
593	35.55945554
594	35.6193956
595	35.67933566
596	35.73927572
597	35.79921578
598	35.85915584
599	35.9190959
600	35.97903596
601	36.03897602
602	36.09891608
603	36.15885614
604	36.2187962
605	36.27873626
606	36.33867632
607	36.39861638
608	36.45855644
609	36.5184965
610	36.57843656
611	36.63837662
612	36.69831668
613	36.75825674
614	36.8181968
615	36.87813686
616	36.93807692
617	36.99801698
618	37.05795704
619	37.1178971
620	37.17783716
621	37.23777722
622	37.29771728
623	37.35765734
624	37.4175974
625	37.47753746
626	37.53747752
627	37.59741758
628	37.65735764
629	37.7172977
630	37.77723776
631	37.83717782
632	37.89711788
633	37.95705794
634	38.016998
635	38.07693806
636	38.13687812
637	38.19681818
638	38.25675824
639	38.3166983
640	38.37663836
641	38.43657842
642	38.49651848
643	38.55645854
644	38.6163986
645	38.67633866
646	38.73627872
647	38.79621878
648	38.85615884
649	38.9160989
650	38.97603896
651	39.03597902
652	39.09591908
653	39.15585914
654	39.2157992
655	39.27573926
656	39.33567932
657	39.39561938
658	39.45555944
659	39.5154995
660	39.57543956
661	39.63537962
662	39.69531968
663	39.75525974
664	39.8151998
665	39.87513986
666	39.93507992
667	39.99501998
668	40.05496004
669	40.1149001
670	40.17484016
671	40.23478022
672	40.29472028
673	40.35466034
674	40.4146004
675	40.47454046
676	40.53448052
677	40.59442058
678	40.65436064
679	40.7143007
680	40.77424076
681	40.83418082
682	40.89412088
683	40.95406094
684	41.014001
685	41.07394106
686	41.13388112
687	41.19382118
688	41.25376124
689	41.3137013
690	41.37364136
691	41.43358142
692	41.49352148
693	41.55346154
694	41.6134016
695	41.67334166
696	41.73328172
697	41.79322178
698	41.85316184
699	41.9131019
700	41.97304196
701	42.03298202
702	42.09292208
703	42.15286214
704	42.2128022
705	42.27274226
706	42.33268232
707	42.39262238
708	42.45256244
709	42.5125025
710	42.57244256
711	42.63238262
712	42.69232268
713	42.75226274
714	42.8122028
715	42.87214286
716	42.93208292
717	42.99202298
718	43.05196304
719	43.1119031
720	43.17184316
721	43.23178322
722	43.29172328
723	43.35166334
724	43.4116034
725	43.47154346
726	43.53148352
727	43.59142358
728	43.65136364
729	43.7113037
730	43.77124376
731	43.83118382
732	43.89112388
733	43.95106394
734	44.011004
735	44.07094406
736	44.13088412
737	44.19082418
738	44.25076424
739	44.3107043
740	44.37064436
741	44.43058442
742	44.49052448
743	44.55046454
744	44.6104046
745	44.67034466
746	44.73028472
747	44.79022478
748	44.85016484
749	44.9101049
750	44.97004496
751	45.02998501
752	45.08992507
753	45.14986513
754	45.20980519
755	45.26974525
756	45.32968531
757	45.38962537
758	45.44956543
759	45.50950549
760	45.56944555
761	45.62938561
762	45.68932567
763	45.74926573
764	45.80920579
765	45.86914585
766	45.92908591
767	45.98902597
768	46.04896603
769	46.10890609
770	46.16884615
771	46.22878621
772	46.28872627
773	46.34866633
774	46.40860639
775	46.46854645
776	46.52848651
777	46.58842657
778	46.64836663
779	46.70830669
780	46.76824675
781	46.82818681
782	46.88812687
783	46.94806693
784	47.00800699
785	47.06794705
786	47.12788711
787	47.18782717
788	47.24776723
789	47.30770729
790	47.36764735
791	47.42758741
792	47.48752747
793	47.54746753
794	47.60740759
795	47.66734765
796	47.72728771
797	47.78722777
798	47.84716783
799	47.90710789
800	47.96704795
801	48.02698801
802	48.08692807
803	48.14686813
804	48.20680819
805	48.26674825
806	48.32668831
807	48.38662837
808	48.44656843
809	48.50650849
810	48.56644855
811	48.62638861
812	48.68632867
813	48.74626873
814	48.80620879
815	48.86614885
816	48.92608891
817	48.98602897
818	49.04596903
819	49.10590909
820	49.16584915
821	49.22578921
822	49.28572927
823	49.34566933
824	49.40560939
825	49.46554945
826	49.52548951
827	49.58542957
828	49.64536963
829	49.70530969
830	49.76524975
831	49.82518981
832	49.88512987
833	49.94506993
834	50.00500999
835	50.06495005
836	50.12489011
837	50.18483017
838	50.24477023
839	50.30471029
840	50.36465035
841	50.42459041
842	50.48453047
843	50.54447053
844	50.60441059
845	50.66435065
846	50.72429071
847	50.78423077
848	50.84417083
849	50.90411089
850	50.96405095
851	51.02399101
852	51.08393107
853	51.14387113
854	51.20381119
855	51.26375125
856	51.32369131
857	51.38363137
858	51.44357143
859	51.50351149
860	51.56345155
861	51.62339161
862	51.68333167
863	51.74327173
864	51.80321179
865	51.86315185
866	51.92309191
867	51.98303197
868	52.04297203
869	52.10291209
870	52.16285215
871	52.22279221
872	52.28273227
873	52.34267233
874	52.40261239
875	52.46255245
876	52.52249251
877	52.58243257
878	52.64237263
879	52.70231269
880	52.76225275
881	52.82219281
882	52.88213287
883	52.94207293
884	53.00201299
885	53.06195305
886	53.12189311
887	53.18183317
888	53.24177323
889	53.30171329
890	53.36165335
891	53.42159341
892	53.48153347
893	53.54147353
894	53.60141359
895	53.66135365
896	53.72129371
897	53.78123377
898	53.84117383
899	53.90111389
900	53.96105395
901	54.02099401
902	54.08093407
903	54.14087413
904	54.20081419
905	54.26075425
906	54.32069431
907	54.38063437
908	54.44057443
909	54.50051449
910	54.56045455
911	54.62039461
912	54.68033467
913	54.74027473
914	54.80021479
915	54.86015485
916	54.92009491
917	54.98003497
918	55.03997502
919	55.09991508
920	55.15985514
921	55.2197952
922	55.27973526
923	55.33967532
924	55.39961538
925	55.45955544
926	55.5194955
927	55.57943556
928	55.63937562
929	55.69931568
930	55.75925574
931	55.8191958
932	55.87913586
933	55.93907592
934	55.99901598
935	56.05895604
936	56.1188961
937	56.17883616
938	56.23877622
939	56.29871628
940	56.35865634
941	56.4185964
942	56.47853646
943	56.53847652
944	56.59841658
945	56.65835664
946	56.7182967
947	56.77823676
948	56.83817682
949	56.89811688
950	56.95805694
951	57.017997
952	57.07793706
953	57.13787712
954	57.19781718
955	57.25775724
956	57.3176973
957	57.37763736
958	57.43757742
959	57.49751748
960	57.55745754
961	57.6173976
962	57.67733766
963	57.73727772
964	57.79721778
965	57.85715784
966	57.9170979
967	57.97703796
968	58.03697802
969	58.09691808
970	58.15685814
971	58.2167982
972	58.27673826
973	58.33667832
974	58.39661838
975	58.45655844
976	58.5164985
977	58.57643856
978	58.63637862
979	58.69631868
980	58.75625874
981	58.8161988
982	58.87613886
983	58.93607892
984	58.99601898
985	59.05595904
986	59.1158991
987	59.17583916
988	59.23577922
989	59.29571928
990	59.35565934
991	59.4155994
992	59.47553946
993	59.53547952
994	59.59541958
995	59.65535964
996	59.7152997
997	59.77523976
998	59.83517982
999	59.89511988
1000	59.95505994
	60.015
